[2026-09-12T18:37:33.292Z] GET http://localhost:5173/ → pending (?ms, ?B)
[2026-09-12T18:37:33.319Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (630ms, 20136B)
[2026-09-12T18:37:33.319Z] GET http://localhost:5173/styles.css → 200 (2ms, 4566B)
[2026-09-12T18:37:33.319Z] GET http://localhost:5173/assets/cv.jpeg → 200 (2ms, 26092B)
[2026-09-12T18:37:33.319Z] GET http://localhost:5173/app.js → 200 (3ms, 4949B)
[2026-09-12T18:37:34.089Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → pending (?ms, ?B)
[2026-09-12T18:37:34.090Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → pending (?ms, ?B)
[2026-09-12T18:37:34.090Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → pending (?ms, ?B)
[2026-09-12T18:37:34.091Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → pending (?ms, ?B)
[2026-09-12T18:37:34.091Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (7ms, 307492B)
[2026-09-12T18:37:34.091Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (7ms, 388854B)
[2026-09-12T18:37:34.091Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (7ms, 1075811B)
[2026-09-12T18:37:35.607Z] GET http://localhost:5173/mobile/ → 200 (2ms, 103339B)
[2026-09-12T18:37:35.614Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, 20136B)
[2026-09-12T18:37:35.614Z] GET http://localhost:5173/styles.css → 200 (3ms, 4566B)
[2026-09-12T18:37:35.617Z] GET http://localhost:5173/assets/cv.jpeg → 200 (?ms, 26092B)
[2026-09-12T18:37:35.617Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:37:35.619Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T18:37:35.619Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:37:35.619Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:37:35.651Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:35.652Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0vQVKwOs1tqhwg.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:35.655Z] GET https://fonts.gstatic.com/s/hindsiliguri/v14/ijwOs5juQtsyLLR5jN4cxBEoREP-0uYVKwOs1to.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:35.655Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:35.656Z] GET http://localhost:5173/assets/foodier.jpg → 200 (?ms, 853566B)
[2026-09-12T18:37:35.656Z] GET http://localhost:5173/assets/cfl.jpg → 200 (?ms, 944312B)
[2026-09-12T18:37:35.656Z] GET http://localhost:5173/assets/teleport.jpg → 200 (?ms, 965906B)
[2026-09-12T18:37:36.290Z] GET http://localhost:5173/genfit/ → 200 (2ms, 45966B)
[2026-09-12T18:37:36.296Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → pending (?ms, ?B)
[2026-09-12T18:37:36.297Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T18:37:36.297Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:37:36.549Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (1ms, 307492B)
[2026-09-12T18:37:36.550Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
[2026-09-12T18:37:36.550Z] GET http://localhost:5173/assets/screens/genfit-confirm-food.png → 200 (?ms, 1075811B)
[2026-09-12T18:37:36.584Z] GET https://fonts.gstatic.com/s/fredoka/v17/X7n64b87HvSqjb_WIi2yDCRwoQ_k7367_DWu89XgHPyh.woff2 → 200 (?ms, ?B)
[2026-09-12T18:37:36.584Z] GET https://fonts.gstatic.com/s/nunito/v32/XRXV3I6Li01BKofINeaBTMnFcQ.woff2 → 200 (1ms, ?B)
[2026-09-12T18:37:36.586Z] GET http://localhost:5173/assets/screens/genfit-weekly.png → 200 (3ms, 325625B)
[2026-09-12T18:37:56.165Z] GET http://localhost:5173/ → 200 (4ms, 77642B)
[2026-09-12T18:37:56.176Z] GET https://fonts.googleapis.com/css2?family=Fredoka:wght@400;500;600;700&family=Hind+Siliguri:wght@500;600;700&family=Nunito:wght@400;500;600;700;800;900&display=swap → 200 (?ms, 20136B)
[2026-09-12T18:37:56.176Z] GET http://localhost:5173/styles.css → 200 (?ms, 4566B)
[2026-09-12T18:37:56.176Z] GET http://localhost:5173/assets/cv.jpeg → 200 (?ms, 26092B)
[2026-09-12T18:37:56.177Z] GET http://localhost:5173/app.js → 200 (?ms, 4949B)
[2026-09-12T18:37:56.204Z] GET http://localhost:5173/assets/screens/genfit-nutrition.png → 200 (?ms, 307492B)
[2026-09-12T18:37:56.204Z] GET http://localhost:5173/assets/screens/genfit-workout.png → 200 (?ms, 388854B)
